bgp1 23 18:05:36 up 0 min, load average: 1.30, 0.38, 0.13Mem: 126476 30156 96320 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 24 18:05:36 up 0 min, load average: 0.83, 0.24, 0.08Mem: 126476 30208 96268 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 25 05:21:05 up 0 min, load average: 1.14, 0.33, 0.11Mem: 126476 29276 97200 0 2676
bgp1 24 18:05:37 up 0 min, load average: 1.30, 0.38, 0.13Mem: 126476 30220 96256 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 25 18:05:37 up 0 min, load average: 0.83, 0.24, 0.08Mem: 126476 30324 96152 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 26 05:21:06 up 0 min, load average: 1.14, 0.33, 0.11Mem: 126476 29220 97256 0 2676
bgp1 25 18:05:38 up 0 min, load average: 1.30, 0.38, 0.13Mem: 126476 30248 96228 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 26 18:05:38 up 0 min, load average: 0.83, 0.24, 0.08Mem: 126476 30196 96280 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 27 05:21:07 up 0 min, load average: 1.05, 0.32, 0.11Mem: 126476 29224 97252 0 2676
bgp1 26 18:05:39 up 0 min, load average: 1.20, 0.37, 0.13Mem: 126476 30352 96124 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 27 18:05:39 up 0 min, load average: 0.76, 0.23, 0.08Mem: 126476 30120 96356 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bmx3 28 05:21:08 up 0 min, load average: 1.05, 0.32, 0.11Mem: 126476 29244 97232 0 2676
bgp1 27 18:05:40 up 0 min, load average: 1.20, 0.37, 0.13Mem: 126476 30284 96192 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bgp2 28 18:05:40 up 0 min, load average: 0.76, 0.23, 0.08Mem: 126476 29800 96676 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bgp1 28 18:05:41 up 0 min, load average: 1.20, 0.37, 0.13Mem: 126476 30088 96388 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bmx3 29 05:21:09 up 0 min, load average: 1.05, 0.32, 0.11Mem: 126476 29272 97204 0 2676
bgp2 29 18:05:42 up 0 min, load average: 0.76, 0.23, 0.08Mem: 126476 29956 96520 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bgp1 29 18:05:42 up 0 min, load average: 1.20, 0.37, 0.13Mem: 126476 30192 96284 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bmx3 30 05:21:10 up 0 min, load average: 1.05, 0.32, 0.11Mem: 126476 29000 97476 0 2676
bgp2 30 18:05:43 up 0 min, load average: 0.76, 0.23, 0.08Mem: 126476 30080 96396 0 2996 Routes: 2266 imported, 6 exported, 2266 preferred
bgp1 30 18:05:43 up 0 min, load average: 1.20, 0.37, 0.13Mem: 126476 30280 96196 0 2676 Routes: 2266 imported, 6 exported, 4532 preferred
bmx3 31 05:21:11 up 0 min, load average: 1.05, 0.32, 0.11Mem: 126476 29052 97424 0 2676
