bgp2 27 14:07:18 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 26988 99488 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 28 05:20:26 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26720 99756 0 2676
bgp1 28 14:07:18 up 0 min, load average: 1.23, 0.37, 0.13Mem: 126476 26832 99644 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 28 14:07:19 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 26992 99484 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 29 05:20:27 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26656 99820 0 2676
bgp1 29 14:07:19 up 0 min, load average: 1.23, 0.37, 0.13Mem: 126476 26800 99676 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 29 14:07:20 up 0 min, load average: 0.86, 0.26, 0.09Mem: 126476 26960 99516 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 30 05:20:28 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26848 99628 0 2676
bgp1 30 14:07:20 up 0 min, load average: 1.23, 0.37, 0.13Mem: 126476 26740 99736 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 30 14:07:21 up 0 min, load average: 0.79, 0.26, 0.09Mem: 126476 26952 99524 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 31 05:20:29 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26792 99684 0 2676
bgp1 31 14:07:21 up 0 min, load average: 1.23, 0.37, 0.13Mem: 126476 26960 99516 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 31 14:07:22 up 0 min, load average: 0.79, 0.26, 0.09Mem: 126476 26896 99580 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 32 05:20:30 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26760 99716 0 2676
bgp1 32 14:07:23 up 0 min, load average: 1.21, 0.38, 0.13Mem: 126476 27032 99444 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 32 14:07:23 up 0 min, load average: 0.79, 0.26, 0.09Mem: 126476 26988 99488 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 33 05:20:31 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26632 99844 0 2676
bgp1 33 14:07:24 up 0 min, load average: 1.21, 0.38, 0.13Mem: 126476 26936 99540 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 33 14:07:24 up 0 min, load average: 0.79, 0.26, 0.09Mem: 126476 27024 99452 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 34 05:20:33 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26688 99788 0 2676
bgp1 34 14:07:25 up 0 min, load average: 1.21, 0.38, 0.13Mem: 126476 27092 99384 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 34 14:07:25 up 1 min, load average: 0.79, 0.26, 0.09Mem: 126476 27176 99300 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 35 05:20:34 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26528 99948 0 2676
bgp1 35 14:07:26 up 1 min, load average: 1.21, 0.38, 0.13Mem: 126476 27068 99408 0 2676 Routes: 0 imported, 0 exported, 0 preferred
