bgp1 23 21:17:12 up 0 min, load average: 0.82, 0.25, 0.08Mem: 126476 26376 100100 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 23 21:17:13 up 0 min, load average: 0.67, 0.19, 0.06Mem: 126476 27204 99272 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 24 07:39:01 up 0 min, load average: 1.16, 0.34, 0.12Mem: 126476 26344 100132 0 2676
bgp1 24 21:17:13 up 0 min, load average: 0.82, 0.25, 0.08Mem: 126476 26464 100012 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 24 21:17:14 up 0 min, load average: 0.67, 0.19, 0.06Mem: 126476 27180 99296 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 25 07:39:02 up 0 min, load average: 1.16, 0.34, 0.12Mem: 126476 26152 100324 0 2676
bgp1 25 21:17:14 up 0 min, load average: 0.82, 0.25, 0.08Mem: 126476 26432 100044 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 25 21:17:15 up 0 min, load average: 0.67, 0.19, 0.06Mem: 126476 27236 99240 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 26 07:39:03 up 0 min, load average: 1.16, 0.34, 0.12Mem: 126476 26216 100260 0 2676
bgp1 26 21:17:15 up 0 min, load average: 0.82, 0.25, 0.08Mem: 126476 26560 99916 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 26 21:17:16 up 0 min, load average: 0.62, 0.19, 0.06Mem: 126476 27140 99336 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 27 07:39:04 up 0 min, load average: 1.16, 0.34, 0.12Mem: 126476 26128 100348 0 2676
bgp1 27 21:17:16 up 0 min, load average: 0.82, 0.25, 0.08Mem: 126476 26544 99932 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 27 21:17:17 up 0 min, load average: 0.62, 0.19, 0.06Mem: 126476 27052 99424 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 28 07:39:05 up 0 min, load average: 1.31, 0.39, 0.13Mem: 126476 26124 100352 0 2676
bgp1 28 21:17:17 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26716 99760 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 28 21:17:18 up 0 min, load average: 0.62, 0.19, 0.06Mem: 126476 27108 99368 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 29 07:39:06 up 0 min, load average: 1.31, 0.39, 0.13Mem: 126476 26128 100348 0 2676
bgp1 29 21:17:19 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26684 99792 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 29 21:17:19 up 0 min, load average: 0.62, 0.19, 0.06Mem: 126476 27172 99304 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 30 07:39:07 up 0 min, load average: 1.31, 0.39, 0.13Mem: 126476 26188 100288 0 2676
bgp1 30 21:17:20 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26652 99824 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 30 21:17:20 up 0 min, load average: 0.62, 0.19, 0.06Mem: 126476 27140 99336 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 31 07:39:08 up 0 min, load average: 1.31, 0.39, 0.13Mem: 126476 26160 100316 0 2676
bgp1 31 21:17:21 up 0 min, load average: 0.83, 0.26, 0.09Mem: 126476 26408 100068 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 31 21:17:21 up 0 min, load average: 0.57, 0.19, 0.06Mem: 126476 27076 99400 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 32 07:39:09 up 0 min, load average: 1.20, 0.38, 0.13Mem: 126476 26152 100324 0 2676
bgp1 32 21:17:22 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26528 99948 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 32 21:17:22 up 0 min, load average: 0.57, 0.19, 0.06Mem: 126476 27060 99416 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 33 07:39:10 up 0 min, load average: 1.20, 0.38, 0.13Mem: 126476 26216 100260 0 2676
bgp1 33 21:17:23 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26432 100044 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 33 21:17:23 up 0 min, load average: 0.57, 0.19, 0.06Mem: 126476 27108 99368 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 34 07:39:11 up 0 min, load average: 1.20, 0.38, 0.13Mem: 126476 26064 100412 0 2676
bgp1 34 21:17:24 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26248 100228 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 34 21:17:24 up 0 min, load average: 0.57, 0.19, 0.06Mem: 126476 27092 99384 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 35 07:39:12 up 0 min, load average: 1.20, 0.38, 0.13Mem: 126476 26128 100348 0 2676
bgp1 35 21:17:25 up 0 min, load average: 0.77, 0.26, 0.09Mem: 126476 26308 100168 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 35 21:17:25 up 1 min, load average: 0.57, 0.19, 0.06Mem: 126476 27140 99336 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 36 07:39:13 up 1 min, load average: 1.20, 0.38, 0.13Mem: 126476 26088 100388 0 2676
bgp1 36 21:17:26 up 1 min, load average: 0.77, 0.26, 0.09Mem: 126476 26432 100044 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 36 21:17:26 up 1 min, load average: 0.52, 0.18, 0.06Mem: 126476 27168 99308 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 37 07:39:14 up 1 min, load average: 1.10, 0.37, 0.13Mem: 126476 26152 100324 0 2676
bgp1 37 21:17:27 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26596 99880 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 37 21:17:28 up 1 min, load average: 0.52, 0.18, 0.06Mem: 126476 27116 99360 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 38 07:39:15 up 1 min, load average: 1.10, 0.37, 0.13Mem: 126476 26100 100376 0 2676
bgp1 38 21:17:28 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26500 99976 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 38 21:17:29 up 1 min, load average: 0.52, 0.18, 0.06Mem: 126476 26988 99488 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 39 07:39:16 up 1 min, load average: 1.10, 0.37, 0.13Mem: 126476 26216 100260 0 2676
bgp1 39 21:17:29 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26308 100168 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 39 21:17:30 up 1 min, load average: 0.52, 0.18, 0.06Mem: 126476 26992 99484 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 40 07:39:17 up 1 min, load average: 1.10, 0.37, 0.13Mem: 126476 26100 100376 0 2676
bgp1 40 21:17:30 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26432 100044 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 40 21:17:31 up 1 min, load average: 0.52, 0.18, 0.06Mem: 126476 27080 99396 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 41 07:39:18 up 1 min, load average: 1.10, 0.37, 0.13Mem: 126476 26184 100292 0 2676
bgp1 41 21:17:31 up 1 min, load average: 0.70, 0.25, 0.09Mem: 126476 26492 99984 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 41 21:17:32 up 1 min, load average: 0.48, 0.18, 0.06Mem: 126476 27116 99360 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 42 07:39:20 up 1 min, load average: 1.02, 0.37, 0.13Mem: 126476 26036 100440 0 2676
bgp1 42 21:17:32 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26536 99940 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 42 21:17:33 up 1 min, load average: 0.48, 0.18, 0.06Mem: 126476 27180 99296 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 43 07:39:21 up 1 min, load average: 1.02, 0.37, 0.13Mem: 126476 26000 100476 0 2676
bgp1 43 21:17:33 up 1 min, load average: 0.65, 0.25, 0.09Mem: 126476 26624 99852 0 2676 Routes: 0 imported, 0 exported, 0 preferred
